Cat…leg prestacions ortoprotŠtiques - Novembre 2025;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Grup - codi;Grup - descripci¢;Subgrup - codi;Subgrup - descripci¢;Categoria - codi;Categoria aparell;Tipus de producte - codi;Tipus de producte ;Import m…xim de facturaci¢ (?);Aportaci¢ usuari/a (?);Aportaci¢ CatSalut (?);·mbit de prescripci¢ de l'aparell;Indicador informe cl¡nic;Classificaci¢ de l'aparell;Edat m¡nima;Edat m…xima;Indicador de bilateralitat;Indicador validaci¢ sanit…ria;Periodicitat prescripci¢ (mesos)
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 020;Samarreta per a cremats i grans queloides;EPQ 020A;Samarreta sense m…nigues per a cremats i grans queloides, a mida;278,93;30;248,93;D;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 020;Samarreta per a cremats i grans queloides;EPQ 020B;Samarreta amb m…nigues curtes per a cremats i grans queloides, a mida;419,54;30;389,54;D;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 020;Samarreta per a cremats i grans queloides;EPQ 020C;Samarreta amb m…nigues llargues per a cremats i grans queloides, a mida;469,49;30;439,49;D;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 030;Tronc per a cremats i grans queloides;EPQ 030A;Tronc sense m…nigues per a cremats i grans queloides, a mida;472,2;30;442,2;D;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 030;Tronc per a cremats i grans queloides;EPQ 030B;Tronc amb m…nigues curtes per a cremats i grans queloides, a mida;567,47;30;537,47;D;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 030;Tronc per a cremats i grans queloides;EPQ 030C;Tronc amb m…nigues llargues per a cremats i grans queloides, a mida;580,35;30;550,35;D;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 040;Guantellet i guant per a cremats i grans queloides;EPQ 040A;Guantellet per a cremats i grans queloides, a mida;52,53;30;22,53;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 040;Guantellet i guant per a cremats i grans queloides;EPQ 040B;Guant sense protecci¢ distal per a cremats i grans queloides;150,07;30;120,07;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 040;Guantellet i guant per a cremats i grans queloides;EPQ 040C;Guant amb protecci¢ distal per a cremats i grans queloides , a mida;157,61;30;127,61;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 040;Guantellet i guant per a cremats i grans queloides;EPQ 040D;Guant fins a colze sense protecci¢ distal per a cremats i grans queloides, a mida;175,25;30;145,25;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 040;Guantellet i guant per a cremats i grans queloides;EPQ 040E;Guant fins al colze amb protecci¢ distal per a cremats i grans queloides, a mida;181,21;30;151,21;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 050;M…niga per a cremats i grans queloides;EPQ 050A;M…niga per a cremats i grans queloides, a mida;108,7;30;78,7;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 050;M…niga per a cremats i grans queloides;EPQ 050B;M…niga amb guantellet per a cremats i grans queloides, a mida;147,94;30;117,94;H;N;M;--;--;S;N;6
0407;Productes per a la prevenci¢ i el tractament cicatrius patol•giques;040700;Peces de compressi¢ per a bra‡os, cames i altres parts del cos per a cremats i grans quelo;EPQ 050;M…niga per a cremats i grans queloides;EPQ 050C;M…niga amb guant per a cremats i grans queloides, a mida;232,57;30;202,57;H;N;M;--;--;S;N;6
